cartao_id,conta_id,numero_cartao_mascarado,bandeira,tipo_cartao,limite_total,limite_disponivel,status_cartao,data_emissao,updated_at,cdc_operation,cdc_sequence,cdc_event_at,source_batch,cartao_virtual,tecnologia_contactless
696,294,**** **** **** 5960,VISA,DEBITO,15548.55,20063.79,ATIVO,2025-03-27,2026-07-25T23:29:53,U,6016,2026-07-25T23:29:53,batch_003,True,False
787,323,**** **** **** 3954,ELO,MULTIPLO,17970.03,25608.46,ATIVO,2022-12-01,2026-07-25T23:29:53,U,6038,2026-07-25T23:29:53,batch_003,False,True
352,751,**** **** **** 8459,VISA,MULTIPLO,24787.21,21070.58,BLOQUEADO,2025-06-28,2026-07-25T23:29:53,U,6037,2026-07-25T23:29:53,batch_003,True,False
172,1145,**** **** **** 0432,MASTERCARD,CREDITO,45595.53,11635.37,ATIVO,2025-06-22,2026-07-25T23:29:53,U,6001,2026-07-25T23:29:53,batch_003,False,True
345,520,**** **** **** 8237,VISA,MULTIPLO,17108.64,16624.44,ATIVO,2022-05-10,2026-07-25T23:29:53,U,6049,2026-07-25T23:29:53,batch_003,False,True
774,138,**** **** **** 1067,VISA,DEBITO,52789.08,39753.02,ATIVO,2023-09-28,2026-07-25T23:29:53,U,6053,2026-07-25T23:29:53,batch_003,True,False
286,451,**** **** **** 3205,MASTERCARD,DEBITO,9934.55,36247.93,BLOQUEADO,2024-09-25,2026-07-25T23:29:53,U,6010,2026-07-25T23:29:53,batch_003,True,False
910,1219,**** **** **** 5908,ELO,MULTIPLO,43528.21,36902.77,ATIVO,2026-07-25,2026-07-25T23:29:53,U,8010,2026-07-25T23:29:53,batch_003,True,True
73,861,**** **** **** 8947,VISA,MULTIPLO,23275.84,28642.56,ATIVO,2024-08-12,2026-07-25T23:29:53,U,6035,2026-07-25T23:29:53,batch_003,False,True
621,688,**** **** **** 7190,VISA,DEBITO,5093.59,9831.04,CANCELADO,2026-05-27,2026-07-25T23:29:53,U,7006,2026-07-25T23:29:53,batch_003,True,True
912,1215,**** **** **** 7244,ELO,MULTIPLO,27233.16,22713.3,ATIVO,2026-07-25,2026-07-25T23:29:53,U,8012,2026-07-25T23:29:53,batch_003,False,False
556,822,**** **** **** 5710,VISA,DEBITO,51542.14,34347.82,ATIVO,2026-03-27,2026-07-25T23:29:53,U,6003,2026-07-25T23:29:53,batch_003,True,False
641,997,**** **** **** 5180,ELO,MULTIPLO,32304.7,25123.42,CANCELADO,2022-08-29,2026-07-25T23:29:53,U,7007,2026-07-25T23:29:53,batch_003,True,False
86,1172,**** **** **** 7045,VISA,MULTIPLO,58435.93,34847.33,BLOQUEADO,2025-09-29,2026-07-25T23:29:53,U,6019,2026-07-25T23:29:53,batch_003,True,True
222,370,**** **** **** 4630,VISA,DEBITO,21630.38,26208.36,CANCELADO,2024-11-12,2026-07-25T23:29:53,U,7004,2026-07-25T23:29:53,batch_003,True,False
696,999999,**** **** **** 5960,VISA,DEBITO,15548.55,20063.79,ATIVO,2025-03-27,2026-07-25T23:29:53,U,6016,2026-07-25T23:29:53,batch_003,,
787,323,**** **** **** 3954,ELO,MULTIPLO,-1000.0,25608.46,ATIVO,2022-12-01,2026-07-25T23:29:53,U,6038,2026-07-25T23:29:53,batch_003,,
352,751,**** **** **** 8459,VISA,MULTIPLO,24787.21,21070.58,INVALIDO,2025-06-28,2026-07-25T23:29:53,U,6037,2026-07-25T23:29:53,batch_003,,
172,1145,,MASTERCARD,CREDITO,45595.53,11635.37,ATIVO,2025-06-22,2026-07-25T23:29:53,U,6001,2026-07-25T23:29:53,batch_003,,
345,520,**** **** **** 8237,VISA,OUTRO,17108.64,16624.44,ATIVO,2022-05-10,2026-07-25T23:29:53,U,6049,2026-07-25T23:29:53,batch_003,,
696,294,**** **** **** 5960,VISA,DEBITO,15548.55,20063.79,ATIVO,2025-03-27,2026-07-25T23:29:53,U,6016,2026-07-25T23:29:53,batch_003,,
787,323,**** **** **** 3954,ELO,MULTIPLO,17970.03,25608.46,ATIVO,2022-12-01,2026-07-25T23:29:53,U,6038,2026-07-25T23:29:53,batch_003,,
352,751,**** **** **** 8459,VISA,MULTIPLO,24787.21,21070.58,BLOQUEADO,2025-06-28,2026-07-25T23:29:53,U,6037,2026-07-25T23:29:53,batch_003,,
