conta_id,cliente_id,agencia,numero_conta,tipo_conta,saldo,limite_credito,status_conta,data_abertura,updated_at
1,939,9439,42802530,PAGAMENTO,88682.45,33626.6,ATIVA,2020-03-31,2020-03-31T14:32:21
2,310,2348,88612212,PAGAMENTO,31209.02,15025.05,ATIVA,2021-10-09,2021-10-09T15:53:45
3,972,9694,98678499,CORRENTE,92963.95,21360.03,ATIVA,2024-12-09,2024-12-09T14:18:49
4,996,5643,86344421,PAGAMENTO,55626.08,26223.15,ATIVA,2025-12-31,2025-12-31T22:59:48
5,419,2445,40250353,POUPANCA,25541.54,26896.41,ATIVA,2023-03-27,2023-03-27T13:34:26
6,231,4928,94969351,CORRENTE,120380.86,45737.06,ATIVA,2019-11-30,2019-11-30T14:24:49
7,992,6825,74797763,PAGAMENTO,17949.14,12142.93,ATIVA,2026-05-10,2026-05-10T03:58:27
8,663,1296,60369366,POUPANCA,11600.76,36229.24,ATIVA,2024-09-12,2024-09-12T16:41:29
9,275,6180,90418715,PAGAMENTO,89445.61,43681.02,ATIVA,2024-11-20,2024-11-20T14:38:10
10,780,9627,97214604,PAGAMENTO,82724.7,23969.71,ATIVA,2020-04-02,2020-04-02T09:23:19
11,341,4968,02058056,CORRENTE,140416.86,48103.88,ATIVA,2024-07-15,2024-07-15T13:50:48
12,773,7847,32560306,PAGAMENTO,89671.23,10225.66,INATIVA,2021-07-16,2021-07-16T13:16:11
13,566,5270,37991563,POUPANCA,68603.2,32436.07,ATIVA,2022-04-28,2022-04-28T11:25:17
14,369,8402,66743429,POUPANCA,12537.76,49065.92,ATIVA,2020-05-12,2020-05-12T14:39:39
15,860,5247,27263311,POUPANCA,45220.61,2285.77,ATIVA,2020-03-25,2020-03-25T20:15:14
16,760,2391,02176999,POUPANCA,81880.01,29201.59,ATIVA,2023-08-15,2023-08-15T03:28:43
17,303,2498,26332416,POUPANCA,32577.84,28489.48,ATIVA,2025-03-24,2025-03-24T02:48:10
18,564,5531,34537813,POUPANCA,144892.51,32084.72,ATIVA,2022-02-26,2022-02-26T03:18:44
19,173,5771,22718460,CORRENTE,107347.81,24415.82,INATIVA,2022-06-29,2022-06-29T02:52:49
20,556,0963,70322630,CORRENTE,125457.95,3716.52,ATIVA,2022-08-09,2022-08-09T22:27:50
21,50,0105,55350348,CORRENTE,125988.07,11571.67,ATIVA,2022-03-23,2022-03-23T16:50:31
22,10,3584,67878324,POUPANCA,54413.11,30891.76,ATIVA,2025-12-29,2025-12-29T11:20:12
23,632,7917,88487647,POUPANCA,-100.91,26610.62,ATIVA,2025-05-21,2025-05-21T05:14:41
24,18,8674,96931067,POUPANCA,79200.06,14334.43,ATIVA,2021-06-08,2021-06-08T13:16:34
25,715,7055,24060789,CORRENTE,137502.45,26219.27,ATIVA,2025-06-03,2025-06-03T19:26:28
26,635,8626,33878997,POUPANCA,38267.02,19844.82,ATIVA,2023-06-05,2023-06-05T01:20:52
27,416,7521,75833310,CORRENTE,148510.54,11292.86,ATIVA,2025-07-04,2025-07-04T13:37:43
28,869,1321,87742923,PAGAMENTO,113336.84,4675.03,ATIVA,2019-10-31,2019-10-31T09:06:13
29,566,7799,07531620,PAGAMENTO,-1058.85,8569.18,ATIVA,2026-01-26,2026-01-26T15:38:21
30,445,5428,75947991,CORRENTE,133955.66,45957.61,ATIVA,2023-02-13,2023-02-13T14:12:22
31,923,9287,63820569,POUPANCA,4600.7,3717.4,INATIVA,2020-09-19,2020-09-19T22:20:31
32,921,8898,75633014,PAGAMENTO,2517.52,46438.32,ATIVA,2023-08-06,2023-08-06T15:54:11
33,985,3395,78790653,CORRENTE,112218.81,35635.57,ATIVA,2021-02-24,2021-02-24T15:37:08
34,79,4904,21803704,PAGAMENTO,34172.01,41732.53,ATIVA,2024-03-10,2024-03-10T20:46:02
35,919,8857,44524026,POUPANCA,112730.41,6997.53,ENCERRADA,2020-06-24,2020-06-24T18:07:06
36,742,1285,67215279,PAGAMENTO,146084.31,2684.82,ATIVA,2023-02-06,2023-02-06T22:11:49
37,859,1246,45713585,PAGAMENTO,114773.36,47742.92,ATIVA,2023-06-10,2023-06-10T20:56:15
38,793,5348,03976289,PAGAMENTO,39182.37,49629.29,ATIVA,2021-04-07,2021-04-07T00:46:58
39,365,9061,50388959,POUPANCA,25825.02,29293.76,ATIVA,2021-09-02,2021-09-02T02:09:06
40,791,4840,33077930,PAGAMENTO,8709.77,13398.6,ATIVA,2023-04-30,2023-04-30T08:19:19
41,803,2528,99274853,POUPANCA,45793.43,5327.55,ATIVA,2021-09-10,2021-09-10T13:38:42
42,316,7287,48307309,POUPANCA,13090.29,4364.86,ATIVA,2022-11-04,2022-11-04T06:47:39
43,571,9089,68778647,POUPANCA,13252.17,4480.94,ATIVA,2020-05-17,2020-05-17T21:31:24
44,612,9799,43544302,POUPANCA,-618.06,20690.5,ATIVA,2020-10-04,2020-10-04T11:39:47
45,743,9168,32580350,PAGAMENTO,76968.44,34265.8,ATIVA,2020-04-21,2020-04-21T04:18:22
46,276,4934,36024951,POUPANCA,19755.06,8360.37,ATIVA,2025-03-31,2025-03-31T01:43:14
47,307,7934,10324211,POUPANCA,35884.21,12329.5,ATIVA,2022-04-07,2022-04-07T14:27:32
48,609,3204,61453149,CORRENTE,18162.15,338.37,ATIVA,2023-08-12,2023-08-12T00:15:35
49,862,6225,44230341,POUPANCA,48547.27,40773.77,ATIVA,2022-10-01,2022-10-01T23:29:39
50,998,9739,18270318,POUPANCA,46401.44,47363.95,ATIVA,2023-03-02,2023-03-02T01:21:24
51,322,2911,53450812,POUPANCA,41945.84,34747.89,ATIVA,2025-09-06,2025-09-06T13:59:11
52,590,3972,43739711,POUPANCA,40245.77,39293.33,ATIVA,2025-09-15,2025-09-15T04:40:25
53,955,9239,26816709,PAGAMENTO,149582.9,8996.36,ATIVA,2026-01-19,2026-01-19T06:44:46
54,28,7564,95075417,CORRENTE,64364.38,14566.56,ATIVA,2025-12-02,2025-12-02T15:26:31
55,839,6704,90325532,POUPANCA,18724.82,15141.63,ATIVA,2020-12-25,2020-12-25T11:22:01
56,158,6933,50598852,CORRENTE,65982.67,29896.69,ATIVA,2026-01-14,2026-01-14T18:55:47
57,548,8301,92839593,POUPANCA,80405.89,39536.05,ATIVA,2023-03-08,2023-03-08T23:09:31
58,917,8797,79701164,PAGAMENTO,136946.19,5468.47,ATIVA,2021-10-02,2021-10-02T18:39:46
59,681,5817,22325575,PAGAMENTO,90933.38,28161.01,ATIVA,2020-06-05,2020-06-05T15:32:53
60,663,6548,44506156,POUPANCA,13656.54,4930.33,ATIVA,2021-01-16,2021-01-16T06:20:32
61,765,8500,74892609,PAGAMENTO,102368.82,11051.59,ATIVA,2025-12-21,2025-12-21T13:50:01
62,475,9644,92668927,PAGAMENTO,20488.6,49885.14,ATIVA,2023-03-05,2023-03-05T14:06:13
63,303,6816,11523237,CORRENTE,124275.96,36507.54,ATIVA,2019-10-23,2019-10-23T14:26:45
64,352,7461,27765263,PAGAMENTO,71146.21,23808.13,ATIVA,2023-12-08,2023-12-08T06:47:53
65,714,7413,42803306,CORRENTE,43290.27,40509.3,ATIVA,2021-10-03,2021-10-03T10:21:18
66,870,5621,86969051,CORRENTE,100763.75,8217.7,ENCERRADA,2024-01-14,2024-01-14T15:20:32
67,250,8455,23414717,PAGAMENTO,21920.7,27992.45,BLOQUEADA,2020-07-28,2020-07-28T12:59:51
68,238,6637,84525000,CORRENTE,25924.01,32865.4,ATIVA,2023-11-30,2023-11-30T10:02:17
69,756,3233,60340937,PAGAMENTO,63006.81,222.5,ATIVA,2026-03-25,2026-03-25T15:34:28
70,286,1026,77490325,CORRENTE,119424.11,26844.45,ATIVA,2025-02-19,2025-02-19T07:25:50
71,202,7497,15294778,POUPANCA,99781.97,24474.2,BLOQUEADA,2023-04-29,2023-04-29T18:25:19
72,321,9781,52162279,PAGAMENTO,57362.96,5711.6,ATIVA,2022-11-25,2022-11-25T23:32:20
73,469,2827,90407567,PAGAMENTO,119593.54,45934.13,ATIVA,2020-12-03,2020-12-03T17:13:43
74,689,2195,42035080,CORRENTE,33882.34,5847.45,ATIVA,2019-09-08,2019-09-08T03:25:24
75,145,8370,52138658,POUPANCA,88454.94,28740.3,ATIVA,2024-07-29,2024-07-29T17:30:06
76,499,8805,93070992,PAGAMENTO,139430.98,8661.74,ATIVA,2024-11-07,2024-11-07T00:31:59
77,296,2299,25111947,POUPANCA,125902.75,30970.5,ATIVA,2020-01-26,2020-01-26T05:57:44
78,975,0158,65043109,CORRENTE,27257.09,19197.21,ATIVA,2023-03-04,2023-03-04T06:53:48
79,669,8110,54913083,PAGAMENTO,72488.2,35507.12,ATIVA,2024-06-03,2024-06-03T09:13:12
80,172,1355,75886409,CORRENTE,118871.84,11026.48,ATIVA,2021-07-22,2021-07-22T10:16:41
81,231,8809,38744674,CORRENTE,116562.88,28282.52,ATIVA,2020-04-11,2020-04-11T18:10:23
82,508,9007,68559219,CORRENTE,84838.89,13394.45,ATIVA,2024-09-12,2024-09-12T07:39:24
83,376,8881,05584870,PAGAMENTO,64808.4,10927.1,ATIVA,2023-03-27,2023-03-27T20:55:02
84,754,4056,39957817,CORRENTE,66084.18,17428.85,ATIVA,2021-08-11,2021-08-11T11:47:19
85,450,1924,31802362,CORRENTE,121132.16,29396.19,ATIVA,2019-09-26,2019-09-26T23:26:22
86,728,9999,84929037,POUPANCA,22812.2,6961.75,ATIVA,2026-04-15,2026-04-15T00:59:04
87,212,0973,76514084,POUPANCA,78672.82,29842.88,ATIVA,2021-07-25,2021-07-25T00:09:59
88,721,4795,38833651,PAGAMENTO,38269.82,42900.84,ENCERRADA,2024-10-28,2024-10-28T19:05:21
89,696,1561,18198435,POUPANCA,137612.23,49624.31,ATIVA,2024-08-25,2024-08-25T07:35:27
90,130,2175,33511113,CORRENTE,105987.71,41424.09,ATIVA,2022-06-04,2022-06-04T06:53:11
91,693,6435,65694039,CORRENTE,85557.39,13435.86,ATIVA,2020-03-11,2020-03-11T10:21:28
92,463,1238,85044079,CORRENTE,58934.74,37490.12,ATIVA,2023-04-10,2023-04-10T08:28:27
93,899,6047,61028217,POUPANCA,47411.62,123.65,ATIVA,2025-11-25,2025-11-25T02:06:10
94,751,1527,98104024,POUPANCA,94313.18,34864.45,ATIVA,2023-10-08,2023-10-08T07:33:10
95,815,8757,53380521,CORRENTE,145139.61,41242.38,ATIVA,2020-01-26,2020-01-26T13:49:56
96,331,4647,45332730,PAGAMENTO,85634.88,28307.11,ATIVA,2022-03-17,2022-03-17T19:10:50
97,352,0794,06166356,CORRENTE,92992.38,41835.11,ATIVA,2022-06-02,2022-06-02T22:03:22
98,952,2589,59228398,POUPANCA,-2396.92,47901.59,ATIVA,2019-11-04,2019-11-04T05:13:39
99,706,2162,87241148,POUPANCA,21744.06,46636.28,ATIVA,2025-08-16,2025-08-16T06:06:18
100,671,5906,33606681,CORRENTE,54206.17,45190.01,ATIVA,2022-05-16,2022-05-16T08:15:43
101,406,5006,97440509,PAGAMENTO,112672.9,21461.55,ATIVA,2025-09-12,2025-09-12T16:16:03
102,98,0018,28644906,POUPANCA,9385.66,29683.97,ATIVA,2024-10-19,2024-10-19T17:16:13
103,456,0153,01082140,PAGAMENTO,49895.06,6029.69,ATIVA,2026-07-21,2026-07-21T14:49:07
104,711,2166,64115842,CORRENTE,32414.4,4466.55,ATIVA,2024-08-01,2024-08-01T21:22:35
105,106,5134,49333295,POUPANCA,18412.22,38673.02,ATIVA,2024-02-27,2024-02-27T13:14:12
106,137,2341,09182051,PAGAMENTO,83401.91,30515.96,ATIVA,2020-10-12,2020-10-12T01:42:38
107,360,3491,84299476,PAGAMENTO,20584.55,20585.49,ATIVA,2026-07-19,2026-07-19T16:48:27
108,881,3560,11635071,CORRENTE,18852.0,6157.86,ATIVA,2020-08-17,2020-08-17T18:44:49
109,360,7036,42211968,CORRENTE,35287.42,32231.03,ATIVA,2025-04-29,2025-04-29T05:03:37
110,616,9831,96795093,PAGAMENTO,40950.42,47063.96,ATIVA,2025-07-21,2025-07-21T05:23:14
111,868,4943,27574458,PAGAMENTO,90056.35,9432.33,ATIVA,2025-09-20,2025-09-20T08:32:50
112,662,0895,32123816,POUPANCA,56347.55,12054.09,ATIVA,2023-02-16,2023-02-16T08:51:59
113,73,8656,01619607,POUPANCA,139923.47,6599.14,ATIVA,2023-04-25,2023-04-25T12:50:47
114,583,6896,49044831,PAGAMENTO,101648.66,38136.3,BLOQUEADA,2021-07-02,2021-07-02T07:17:27
115,789,1196,02240014,PAGAMENTO,7798.72,13109.26,ATIVA,2025-04-27,2025-04-27T17:12:19
116,62,6521,67996125,POUPANCA,93357.03,25052.45,ATIVA,2026-05-27,2026-05-27T16:43:24
117,719,6591,11063274,PAGAMENTO,79326.13,30802.35,ATIVA,2020-05-31,2020-05-31T20:18:46
118,318,1295,68626155,CORRENTE,146082.79,7768.86,ATIVA,2021-01-14,2021-01-14T12:51:03
119,601,1084,41630245,PAGAMENTO,64216.62,47671.4,ATIVA,2026-01-13,2026-01-13T08:30:59
120,251,1413,58315401,CORRENTE,66639.21,30441.62,ATIVA,2021-05-25,2021-05-25T05:47:30
121,760,2878,16031370,CORRENTE,105454.84,35074.98,ATIVA,2021-12-13,2021-12-13T10:48:17
122,976,5681,70196592,PAGAMENTO,116905.53,36038.28,ATIVA,2026-03-19,2026-03-19T18:32:07
123,130,4404,98372983,CORRENTE,115143.12,1467.81,ATIVA,2021-07-07,2021-07-07T05:40:46
124,279,8583,08572754,POUPANCA,106129.3,28832.58,ATIVA,2026-02-28,2026-02-28T08:50:20
