conta_id,cliente_id,agencia,numero_conta,tipo_conta,saldo,limite_credito,status_conta,data_abertura,updated_at,cdc_operation,cdc_sequence,cdc_event_at,source_batch
1201,1014,5389,61675214,POUPANCA,29573.29,6119.1,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5001,2026-07-25T23:19:00,batch_002
1202,1014,7945,02256516,PAGAMENTO,40741.83,4637.36,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5002,2026-07-25T23:19:00,batch_002
1203,1002,9480,23963872,CORRENTE,3867.79,2323.4,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5003,2026-07-25T23:19:00,batch_002
1204,1004,2015,02658219,PAGAMENTO,41143.39,29047.09,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5004,2026-07-25T23:19:00,batch_002
1205,1017,8592,52949190,CORRENTE,24865.23,29270.35,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5005,2026-07-25T23:19:00,batch_002
1206,1008,5131,49125438,CORRENTE,19632.05,3880.26,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5006,2026-07-25T23:19:00,batch_002
1207,1017,9818,09671789,PAGAMENTO,5793.61,12974.39,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5007,2026-07-25T23:19:00,batch_002
1208,1003,3317,98734695,PAGAMENTO,5232.95,16660.02,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5008,2026-07-25T23:19:00,batch_002
1209,1014,8347,03002309,POUPANCA,35053.15,17345.6,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5009,2026-07-25T23:19:00,batch_002
1210,1012,4636,89441365,POUPANCA,27196.51,13151.05,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5010,2026-07-25T23:19:00,batch_002
1211,1003,0471,82220776,CORRENTE,3039.03,12816.32,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5011,2026-07-25T23:19:00,batch_002
1212,1009,8825,40058984,CORRENTE,17886.59,9209.49,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5012,2026-07-25T23:19:00,batch_002
1213,1004,6516,40624066,POUPANCA,37750.81,2434.83,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5013,2026-07-25T23:19:00,batch_002
1214,1002,3546,72789316,CORRENTE,20877.54,10802.64,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5014,2026-07-25T23:19:00,batch_002
1215,1015,4628,14713201,POUPANCA,17929.77,28821.79,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5015,2026-07-25T23:19:00,batch_002
1216,1004,7285,56982345,POUPANCA,23997.7,6655.39,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5016,2026-07-25T23:19:00,batch_002
1217,1020,4367,34692395,POUPANCA,31330.33,3060.74,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5017,2026-07-25T23:19:00,batch_002
1218,1011,5250,38755163,CORRENTE,39859.08,18549.9,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5018,2026-07-25T23:19:00,batch_002
1219,1017,7170,74074212,POUPANCA,36646.81,23311.44,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5019,2026-07-25T23:19:00,batch_002
1220,1013,6597,04735816,CORRENTE,31603.08,439.14,ATIVA,2026-07-25,2026-07-25T23:19:00,I,5020,2026-07-25T23:19:00,batch_002
987,377,8152,42549762,POUPANCA,69558.45,8978.29,ATIVA,2026-04-20,2026-07-25T23:19:00,U,3001,2026-07-25T23:19:00,batch_002
778,21,907,11264833,POUPANCA,98304.35,43358.59,ATIVA,2021-04-29,2026-07-25T23:19:00,U,3002,2026-07-25T23:19:00,batch_002
319,817,8942,39591340,PAGAMENTO,31345.22,33864.45,ATIVA,2019-12-20,2026-07-25T23:19:00,U,3003,2026-07-25T23:19:00,batch_002
851,23,1909,22294302,CORRENTE,122308.36,22263.3,ATIVA,2022-06-22,2026-07-25T23:19:00,U,3004,2026-07-25T23:19:00,batch_002
422,256,2676,95957352,PAGAMENTO,98725.5,41421.34,ATIVA,2025-01-28,2026-07-25T23:19:00,U,3005,2026-07-25T23:19:00,batch_002
460,866,6091,55343780,PAGAMENTO,72411.97,36293.38,ATIVA,2019-08-15,2026-07-25T23:19:00,U,3006,2026-07-25T23:19:00,batch_002
900,586,4745,5406578,PAGAMENTO,17738.0,18573.37,ATIVA,2021-06-01,2026-07-25T23:19:00,U,3007,2026-07-25T23:19:00,batch_002
155,90,4584,51407441,CORRENTE,60555.19,32132.63,ATIVA,2021-08-29,2026-07-25T23:19:00,U,3008,2026-07-25T23:19:00,batch_002
806,801,4362,38649602,PAGAMENTO,86592.07,6509.97,ATIVA,2021-11-04,2026-07-25T23:19:00,U,3009,2026-07-25T23:19:00,batch_002
797,590,1348,14875110,CORRENTE,38657.75,35678.2,ATIVA,2023-02-25,2026-07-25T23:19:00,U,3010,2026-07-25T23:19:00,batch_002
471,797,6267,7264931,POUPANCA,86169.4,15965.83,ATIVA,2021-10-26,2026-07-25T23:19:00,U,3011,2026-07-25T23:19:00,batch_002
117,719,6591,11063274,PAGAMENTO,85838.75,30802.35,ATIVA,2020-05-31,2026-07-25T23:19:00,U,3012,2026-07-25T23:19:00,batch_002
438,487,9769,20802667,POUPANCA,115252.95,12436.11,ATIVA,2019-12-29,2026-07-25T23:19:00,U,3013,2026-07-25T23:19:00,batch_002
532,112,9362,97942504,PAGAMENTO,84890.84,4383.49,ATIVA,2021-03-24,2026-07-25T23:19:00,U,3014,2026-07-25T23:19:00,batch_002
649,992,7773,66775312,CORRENTE,35112.42,46133.65,ATIVA,2019-12-28,2026-07-25T23:19:00,U,3015,2026-07-25T23:19:00,batch_002
694,486,4749,77004413,PAGAMENTO,21477.23,28261.58,ATIVA,2024-07-06,2026-07-25T23:19:00,U,3016,2026-07-25T23:19:00,batch_002
852,21,7365,78547741,CORRENTE,30144.05,28471.52,ATIVA,2020-06-19,2026-07-25T23:19:00,U,3017,2026-07-25T23:19:00,batch_002
