conta_id,cliente_id,agencia,numero_conta,tipo_conta,saldo,limite_credito,status_conta,data_abertura,updated_at,cdc_operation,cdc_sequence,cdc_event_at,source_batch,pix_habilitado,categoria_conta
536,25,7617,83947920.0,CORRENTE,113845.06,10366.54,INATIVA,2025-12-03,2026-07-25T23:29:53,U,3075,2026-07-25T23:29:53,batch_003,False,PREMIUM
648,476,3410,37101349.0,CORRENTE,39262.0,39830.65,INATIVA,2021-10-24,2026-07-25T23:29:53,U,3038,2026-07-25T23:29:53,batch_003,True,DIGITAL
817,898,4313,82266283.0,POUPANCA,76803.96,21788.77,ATIVA,2025-04-14,2026-07-25T23:29:53,U,3062,2026-07-25T23:29:53,batch_003,False,DIGITAL
851,23,1909,22294302.0,CORRENTE,122308.36,22263.3,ATIVA,2022-06-22,2026-07-25T23:29:53,U,3004,2026-07-25T23:29:53,batch_003,False,PREMIUM
1031,412,5182,1608114.0,POUPANCA,39547.81,11004.81,ATIVA,2023-04-20,2026-07-25T23:29:53,U,3098,2026-07-25T23:29:53,batch_003,True,DIGITAL
84,754,4056,39957817.0,CORRENTE,66448.86,17428.85,ATIVA,2021-08-11,2026-07-25T23:29:53,U,3060,2026-07-25T23:29:53,batch_003,True,DIGITAL
496,247,9387,20501645.0,POUPANCA,145506.92,45486.77,ENCERRADA,2023-04-20,2026-07-25T23:29:53,U,4003,2026-07-25T23:29:53,batch_003,True,BASICA
1217,1020,4367,34692395.0,POUPANCA,31330.33,3060.74,ATIVA,2026-07-25,2026-07-25T23:29:53,U,5017,2026-07-25T23:29:53,batch_003,False,PREMIUM
422,256,2676,95957352.0,PAGAMENTO,98725.5,41421.34,ATIVA,2025-01-28,2026-07-25T23:29:53,U,3005,2026-07-25T23:29:53,batch_003,True,BASICA
1209,1014,8347,3002309.0,POUPANCA,35053.15,17345.6,ATIVA,2026-07-25,2026-07-25T23:29:53,U,5009,2026-07-25T23:29:53,batch_003,True,BASICA
694,486,4749,77004413.0,PAGAMENTO,21477.23,28261.58,ATIVA,2024-07-06,2026-07-25T23:29:53,U,3016,2026-07-25T23:29:53,batch_003,True,BASICA
619,625,6433,23950103.0,PAGAMENTO,76705.09,7193.63,ATIVA,2025-01-05,2026-07-25T23:29:53,U,3031,2026-07-25T23:29:53,batch_003,False,BASICA
649,992,7773,66775312.0,CORRENTE,35112.42,46133.65,ATIVA,2019-12-28,2026-07-25T23:29:53,U,3015,2026-07-25T23:29:53,batch_003,True,DIGITAL
343,997,3652,69306248.0,POUPANCA,50072.64,43385.97,ATIVA,2023-03-04,2026-07-25T23:29:53,U,3026,2026-07-25T23:29:53,batch_003,False,DIGITAL
438,487,9769,20802667.0,POUPANCA,115252.95,12436.11,ATIVA,2019-12-29,2026-07-25T23:29:53,U,3013,2026-07-25T23:29:53,batch_003,False,DIGITAL
991,866,4497,25587595.0,PAGAMENTO,97422.67,6893.26,INATIVA,2026-06-13,2026-07-25T23:29:53,U,3070,2026-07-25T23:29:53,batch_003,False,DIGITAL
958,198,1770,13782773.0,CORRENTE,89244.74,3377.22,ATIVA,2023-07-26,2026-07-25T23:29:53,U,3073,2026-07-25T23:29:53,batch_003,False,DIGITAL
1212,1009,8825,40058984.0,CORRENTE,17886.59,9209.49,ATIVA,2026-07-25,2026-07-25T23:29:53,U,5012,2026-07-25T23:29:53,batch_003,True,PREMIUM
781,681,9510,70499223.0,POUPANCA,85844.63,4512.44,ATIVA,2023-10-25,2026-07-25T23:29:53,U,3091,2026-07-25T23:29:53,batch_003,True,PREMIUM
858,962,5682,60173216.0,PAGAMENTO,72394.15,8066.67,ATIVA,2025-07-10,2026-07-25T23:29:53,U,3072,2026-07-25T23:29:53,batch_003,False,DIGITAL
536,25,7617,83947920.0,CORRENTE,VALOR_INVALIDO,10366.54,INATIVA,2025-12-03,2026-07-25T23:29:53,U,3075,2026-07-25T23:29:53,batch_003,,
648,999999,3410,37101349.0,CORRENTE,39262.0,39830.65,INATIVA,2021-10-24,2026-07-25T23:29:53,U,3038,2026-07-25T23:29:53,batch_003,,
817,898,4313,82266283.0,,76803.96,21788.77,ATIVA,2025-04-14,2026-07-25T23:29:53,U,3062,2026-07-25T23:29:53,batch_003,,
851,23,1909,22294302.0,CORRENTE,122308.36,22263.3,STATUS_INVALIDO,2022-06-22,2026-07-25T23:29:53,U,3004,2026-07-25T23:29:53,batch_003,,
1031,412,5182,1608114.0,POUPANCA,39547.81,-5000.0,ATIVA,2023-04-20,2026-07-25T23:29:53,U,3098,2026-07-25T23:29:53,batch_003,,
84,754,4056,,CORRENTE,66448.86,17428.85,ATIVA,2021-08-11,2026-07-25T23:29:53,U,3060,2026-07-25T23:29:53,batch_003,,
536,25,7617,83947920.0,CORRENTE,113845.06,10366.54,INATIVA,2025-12-03,2026-07-25T23:29:53,U,3075,2026-07-25T23:29:53,batch_003,,
648,476,3410,37101349.0,CORRENTE,39262.0,39830.65,INATIVA,2021-10-24,2026-07-25T23:29:53,U,3038,2026-07-25T23:29:53,batch_003,,
817,898,4313,82266283.0,POUPANCA,76803.96,21788.77,ATIVA,2025-04-14,2026-07-25T23:29:53,U,3062,2026-07-25T23:29:53,batch_003,,
851,23,1909,22294302.0,CORRENTE,122308.36,22263.3,ATIVA,2022-06-22,2026-07-25T23:29:53,U,3004,2026-07-25T23:29:53,batch_003,,
