conta_id,cliente_id,agencia,numero_conta,tipo_conta,saldo,limite_credito,status_conta,data_abertura,updated_at,_dataset_name,_source_batch,_source_file,_row_number,cdc_operation,cdc_sequence,cdc_event_at,source_batch,pix_habilitado,categoria_conta,_validation_errors,_is_valid
496,247,9387,20501645,POUPANCA,145506.92,45486.77,ENCERRADA,2023-04-20,2026-07-25T23:19:00,contas_cdc,batch_002,data\landing\contas_cdc\batch_002\contas_cdc.csv,123,D,4003,2026-07-25T23:19:00,batch_002,,,duplicidade:conta_id,False
536,25,7617,83947920.0,CORRENTE,VALOR_INVALIDO,10366.54,INATIVA,2025-12-03,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,21,U,3075,2026-07-25T23:29:53,batch_003,,,duplicidade:conta_id; tipo_numerico_invalido:saldo,False
648,999999,3410,37101349.0,CORRENTE,39262.0,39830.65,INATIVA,2021-10-24,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,22,U,3038,2026-07-25T23:29:53,batch_003,,,duplicidade:conta_id,False
817,898,4313,82266283.0,,76803.96,21788.77,ATIVA,2025-04-14,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,23,U,3062,2026-07-25T23:29:53,batch_003,,,campo_obrigatorio_nulo:tipo_conta; duplicidade:conta_id,False
851,23,1909,22294302.0,CORRENTE,122308.36,22263.3,STATUS_INVALIDO,2022-06-22,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,24,U,3004,2026-07-25T23:29:53,batch_003,,,dominio_invalido:status_conta; duplicidade:conta_id,False
1031,412,5182,1608114.0,POUPANCA,39547.81,-5000.0,ATIVA,2023-04-20,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,25,U,3098,2026-07-25T23:29:53,batch_003,,,duplicidade:conta_id; valor_abaixo_minimo:limite_credito,False
84,754,4056,,CORRENTE,66448.86,17428.85,ATIVA,2021-08-11,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,26,U,3060,2026-07-25T23:29:53,batch_003,,,campo_obrigatorio_nulo:numero_conta; duplicidade:conta_id,False
536,25,7617,83947920.0,CORRENTE,113845.06,10366.54,INATIVA,2025-12-03,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,27,U,3075,2026-07-25T23:29:53,batch_003,,,duplicidade:conta_id,False
648,476,3410,37101349.0,CORRENTE,39262.0,39830.65,INATIVA,2021-10-24,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,28,U,3038,2026-07-25T23:29:53,batch_003,,,duplicidade:conta_id,False
817,898,4313,82266283.0,POUPANCA,76803.96,21788.77,ATIVA,2025-04-14,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,29,U,3062,2026-07-25T23:29:53,batch_003,,,duplicidade:conta_id,False
851,23,1909,22294302.0,CORRENTE,122308.36,22263.3,ATIVA,2022-06-22,2026-07-25T23:29:53,contas_cdc,batch_003,data\landing\contas_cdc\batch_003\contas_cdc.csv,30,U,3004,2026-07-25T23:29:53,batch_003,,,duplicidade:conta_id,False
